Boundary Type,Boundary Name,Population 2016,Population Density 2016,Year opened,Aboriginal,Aboriginal Percent,Visible Minorities Numbers,Visible Minorities Percent,Visible Minorities Total Number,Visible Minorities Total Percent,Citizenship Numbers,Citizenship Percent,Education Numbers,Education Percent,Unemployment Rate,Period of Construction,Period of Construction Percent,Period of Construction Name,Household Type,Own vs Rent,Own vs Rent Percent,Bad Dwelling,Bad Dwelling Percent,Average and Median Household Income,Commuting Method,Commuting Method Percent,LIM-AT,LICO-AT
Neighbourhood,River Park South,13355,3018.3028256105763,1971,1170,0.08760763758891801,"[430, 765, 685, 555, 65, 180, 75, 95, 60, 25, 55, 95]","[0.1393841166936791, 0.2479740680713128, 0.22204213938411668, 0.17990275526742303, 0.02106969205834684, 0.05834683954619125, 0.024311183144246355, 0.03079416531604538, 0.019448946515397084, 0.008103727714748784, 0.017828200972447326, 0.03079416531604538]",3085,0.23099962560838638,"[12350, 1010]","[0.9244011976047904, 0.07559880239520958]","[1155, 3235, 6500]","[0.10606060606060606, 0.2970615243342516, 0.5968778696051423]",0.06,"[2365, 985, 590]","[0.47064676616915424, 0.19601990049751244, 0.11741293532338308]","['1981 to 1990', '1961 to 1980', '2006 to 2010']","[4080, 950, 0]","[4225, 805]","[0.8399602385685885, 0.16003976143141152]",135,0.0268389662027833,"[104168, 93061]","[5640, 1630]","[0.7757909215955984, 0.22420907840440166]",0.08985398727068514,0.06514414077124672
Neighbourhood,River West Park,1480,1937.4948453473287,1976,140,0.0945945945945946,"[15, 20, 35, 10, 0, 20, 0, 0, 0, 10, 10, 0]","[0.125, 0.16666666666666666, 0.2916666666666667, 0.08333333333333333, 0, 0.16666666666666666, 0, 0, 0, 0.08333333333333333, 0.08333333333333333, 0]",120,0.08108108108108109,"[1460, 20]","[0.9864864864864865, 0.013513513513513514]","[115, 340, 735]","[0.09663865546218488, 0.2857142857142857, 0.6176470588235294]",0.01,"[445, 65, 20]","[0.8240740740740741, 0.12037037037037036, 0.037037037037037035]","['1961 to 1980', '1981 to 1990', '1991 to 2000']","[480, 55, 0]","[480, 60]","[0.8888888888888888, 0.1111111111111111]",50,0.09259259259259259,"[134709, 123778]","[630, 110]","[0.8513513513513513, 0.14864864864864866]",0.02027027027027027,0.010135135135135136
Neighbourhood,River-Osborne,4750,5434.770172150636,1971,665,0.13999999999999999,"[145, 305, 340, 105, 50, 70, 65, 40, 30, 0, 55, 10]","[0.11934156378600823, 0.25102880658436216, 0.27983539094650206, 0.08641975308641975, 0.0411522633744856, 0.05761316872427984, 0.053497942386831275, 0.03292181069958848, 0.024691358024691357, 0, 0.04526748971193416, 0.00823045267489712]",1215,0.2557894736842105,"[3965, 780]","[0.8356164383561644, 0.1643835616438356]","[405, 1250, 2725]","[0.09246575342465753, 0.2853881278538813, 0.6221461187214612]",0.08,"[1185, 1105, 300]","[0.39434276206322794, 0.36772046589018303, 0.09983361064891846]","['1961 to 1980', '1960 or before', '1981 to 1990']","[85, 2910, 0]","[370, 2625]","[0.12353923205342238, 0.8764607679465777]",280,0.09348914858096828,"[51402, 42812]","[1215, 1650]","[0.42408376963350786, 0.5759162303664922]",0.29473684210526313,0.30105263157894735
Neighbourhood,Riverbend,5555,3257.061608595594,1971,560,0.10081008100810081,"[795, 335, 115, 10, 70, 35, 25, 30, 0, 10, 125, 20]","[0.5063694267515924, 0.21337579617834396, 0.0732484076433121, 0.006369426751592357, 0.044585987261146494, 0.022292993630573247, 0.01592356687898089, 0.01910828025477707, 0, 0.006369426751592357, 0.07961783439490445, 0.012738853503184714]",1570,0.2826282628262826,"[5115, 450]","[0.9191374663072777, 0.08086253369272237]","[635, 1360, 2280]","[0.14853801169590644, 0.31812865497076026, 0.5333333333333333]",0.06,"[515, 455, 300]","[0.2968299711815562, 0.2622478386167147, 0.1729106628242075]","['1981 to 1990', '1991 to 2000', '2001 to 2005']","[1740, 0, 0]","[1640, 95]","[0.9452449567723343, 0.05475504322766571]",35,0.020172910662824207,"[108169, 105074]","[2470, 485]","[0.8358714043993232, 0.16412859560067683]",0.06025179856115108,0.044964028776978415
Neighbourhood,Rivergrove,2330,1525.8227491658727,1971,120,0.05150214592274678,"[270, 30, 15, 15, 15, 30, 0, 0, 0, 0, 0, 0]","[0.72, 0.08, 0.04, 0.04, 0.04, 0.08, 0, 0, 0, 0, 0, 0]",375,0.1609442060085837,"[2240, 90]","[0.9613733905579399, 0.03862660944206009]","[315, 495, 1185]","[0.15789473684210525, 0.24812030075187969, 0.5939849624060151]",0.06,"[395, 180, 135]","[0.4388888888888889, 0.2, 0.15]","['2006 to 2010', '1981 to 1990', '1991 to 2000']","[550, 280, 65]","[625, 285]","[0.6868131868131868, 0.3131868131868132]",25,0.027624309392265192,"[116798, 95509]","[975, 280]","[0.7768924302788844, 0.2231075697211156]",0.04935622317596566,0.034334763948497854
Neighbourhood,Riverview,4270,1748.3727235839103,1971,275,0.06440281030444965,"[145, 40, 130, 25, 0, 45, 15, 0, 0, 20, 20, 20]","[0.31521739130434784, 0.08695652173913043, 0.2826086956521739, 0.05434782608695652, 0, 0.09782608695652174, 0.03260869565217391, 0, 0, 0.043478260869565216, 0.043478260869565216, 0.043478260869565216]",460,0.10772833723653395,"[4120, 150]","[0.9648711943793911, 0.0351288056206089]","[350, 940, 2345]","[0.09628610729023383, 0.2585969738651995, 0.6451169188445667]",0.05,"[1455, 200, 185]","[0.7461538461538462, 0.10256410256410256, 0.09487179487179487]","['1960 or before', '1981 to 1990', '1961 to 1980']","[1440, 505, 0]","[1440, 510]","[0.7384615384615385, 0.26153846153846155]",200,0.10256410256410256,"[91483, 75435]","[1505, 740]","[0.6703786191536748, 0.3296213808463252]",0.06198830409356725,0.047953216374269005
Neighbourhood,Robertson,4970,3633.893625624141,1971,565,0.113682092555332,"[2235, 15, 30, 45, 80, 0, 0, 0, 0, 0, 55, 0]","[0.9085365853658537, 0.006097560975609756, 0.012195121951219513, 0.018292682926829267, 0.032520325203252036, 0, 0, 0, 0, 0, 0.022357723577235773, 0]",2460,0.4949698189134809,"[4260, 715]","[0.8562814070351759, 0.14371859296482412]","[805, 1440, 1875]","[0.1953883495145631, 0.34951456310679613, 0.4550970873786408]",0.07,"[1580, 110, 20]","[0.9159420289855073, 0.06376811594202898, 0.011594202898550725]","['1960 or before', '1961 to 1980', '1991 to 2000']","[1705, 40, 10]","[1620, 120]","[0.9310344827586207, 0.06896551724137931]",135,0.07758620689655173,"[80010, 73746]","[1820, 745]","[0.7095516569200779, 0.290448343079922]",0.08551307847082495,0.06740442655935613
Neighbourhood,Roblin Park,945,1348.7071678433958,1971,70,0.07407407407407407,"[10, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 10]","[0.25, 0, 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0.25]",40,0.042328042328042326,"[905, 45]","[0.9526315789473684, 0.04736842105263158]","[90, 225, 480]","[0.11320754716981132, 0.2830188679245283, 0.6037735849056604]",0.03,"[190, 140, 20]","[0.5135135135135135, 0.3783783783783784, 0.05405405405405406]","['1961 to 1980', '1960 or before', '1981 to 1990']","[375, 0, 0]","[365, 15]","[0.9605263157894737, 0.039473684210526314]",25,0.06666666666666667,"[120804, 107007]","[385, 90]","[0.8105263157894737, 0.18947368421052632]",0.037037037037037035,0.037037037037037035
Neighbourhood,Rockwood,4245,4380.244426925759,1971,360,0.08480565371024734,"[240, 250, 130, 155, 10, 50, 15, 30, 0, 15, 35, 0]","[0.25806451612903225, 0.26881720430107525, 0.13978494623655913, 0.16666666666666666, 0.010752688172043012, 0.053763440860215055, 0.016129032258064516, 0.03225806451612903, 0, 0.016129032258064516, 0.03763440860215054, 0]",930,0.21908127208480566,"[3610, 635]","[0.850412249705536, 0.14958775029446408]","[485, 1055, 2115]","[0.1326949384404925, 0.28864569083447333, 0.5786593707250342]",0.08,"[1220, 590, 120]","[0.5951219512195122, 0.28780487804878047, 0.05853658536585366]","['1960 or before', '1961 to 1980', '1981 to 1990']","[1075, 960, 0]","[1055, 985]","[0.5171568627450981, 0.48284313725490197]",165,0.08068459657701711,"[68942, 57502]","[1505, 840]","[0.6417910447761194, 0.35820895522388063]",0.18492343934040048,0.15665488810365136
Neighbourhood,Roslyn,4550,14491.045807628978,1971,235,0.05164835164835165,"[50, 135, 90, 90, 30, 85, 10, 40, 30, 0, 10, 15]","[0.08547008547008547, 0.23076923076923078, 0.15384615384615385, 0.15384615384615385, 0.05128205128205128, 0.1452991452991453, 0.017094017094017096, 0.06837606837606838, 0.05128205128205128, 0, 0.017094017094017096, 0.02564102564102564]",585,0.12857142857142856,"[4200, 355]","[0.9220636663007684, 0.07793633369923161]","[270, 970, 3160]","[0.06136363636363636, 0.22045454545454546, 0.7181818181818181]",0.06,"[2125, 400, 360]","[0.6955810147299509, 0.1309328968903437, 0.11783960720130933]","['1961 to 1980', '1981 to 1990', '1960 or before']","[35, 3035, 0]","[1135, 1935]","[0.3697068403908795, 0.6302931596091205]",225,0.0732899022801303,"[88912, 61605]","[1415, 990]","[0.5883575883575883, 0.41164241164241167]",0.13516483516483516,0.11978021978021978
