Boundary Type,Boundary Name,Population 2016,Population Density 2016,Year opened,Aboriginal,Aboriginal Percent,Visible Minorities Names,Visible Minorities Numbers,Visible Minorities Percent,Visible Minorities Total Number,Visible Minorities Total Percent,Citizenship Numbers,Citizenship Percent,Education Numbers,Education Percent,Unemployment Rate
Neighbourhood,Inkster-Faraday,4545,5417.376368796389,1971,910,0.20022002200220024,"['Filipino', 'Black', 'Southeast Asian']","[1505, 85, 80]","[0.8224043715846995, 0.04644808743169399, 0.04371584699453552]",1830,0.40264026402640263,"[3810, 735]","[0.8382838283828383, 0.1617161716171617]","[910, 1095, 1530]","[0.25742574257425743, 0.30975954738330974, 0.4328147100424328]",0.08
Neighbourhood,Island Lakes,7525,2997.10764176817,1986,545,0.07242524916943523,"['South Asian', 'Chinese', 'Black']","[420, 410, 260]","[0.23204419889502761, 0.2265193370165746, 0.143646408839779]",1810,0.24053156146179402,"[7085, 440]","[0.9415282392026578, 0.05847176079734219]","[715, 1630, 3570]","[0.12087912087912088, 0.27557058326289097, 0.6035502958579881]",0.05
Neighbourhood,J.B. Mitchell,2270,3878.452377901364,1971,190,0.08370044052863437,"['Black', 'South Asian', 'Latin American']","[110, 90, 85]","[0.24719101123595505, 0.20224719101123595, 0.19101123595505617]",445,0.1960352422907489,"[1955, 315]","[0.8612334801762115, 0.13876651982378854]","[275, 525, 1140]","[0.14175257731958762, 0.2706185567010309, 0.5876288659793815]",0.06
Neighbourhood,Jameswood,1380,1839.352547903138,1971,145,0.10507246376811594,"['Filipino', 'Black', 'Latin American']","[60, 35, 35]","[0.36363636363636365, 0.21212121212121213, 0.21212121212121213]",165,0.11956521739130435,"[1345, 40]","[0.9711191335740073, 0.02888086642599278]","[195, 330, 570]","[0.1780821917808219, 0.3013698630136986, 0.5205479452054794]",0.03
Neighbourhood,Jefferson,8985,3795.7101082907434,1971,1280,0.1424596549805231,"['Filipino', 'Black', 'Southeast Asian']","[2125, 180, 145]","[0.7495590828924162, 0.06349206349206349, 0.05114638447971781]",2835,0.31552587646076796,"[7805, 1180]","[0.8686700055648303, 0.13132999443516974]","[1710, 2260, 3445]","[0.2306136210384356, 0.3047875927174646, 0.4645987862440998]",0.07
Neighbourhood,Kensington,270,2563.4939473059576,1971,60,0.2222222222222222,"['Filipino', 'South Asian', 'Black']","[50, 30, 10]","[0.5555555555555556, 0.3333333333333333, 0.1111111111111111]",90,0.3333333333333333,"[250, 20]","[0.9259259259259259, 0.07407407407407407]","[85, 70, 75]","[0.3695652173913043, 0.30434782608695654, 0.32608695652173914]",0.06
Neighbourhood,Kern Park,1775,3147.5258673428675,1971,190,0.10704225352112677,"['Filipino', 'South Asian', 'Japanese']","[15, 10, 10]","[0.42857142857142855, 0.2857142857142857, 0.2857142857142857]",35,0.01971830985915493,"[1725, 50]","[0.971830985915493, 0.028169014084507043]","[310, 575, 605]","[0.2080536912751678, 0.3859060402684564, 0.40604026845637586]",0.05
Neighbourhood,Kil-Cona Park,335,116.83827942903399,1971,35,0.1044776119402985,"['South Asian', 'Multiple visible minorities', 'Filipino']","[10, 10, 0]","[0.5, 0.5, 0]",20,0.05970149253731343,"[325, 10]","[0.9701492537313433, 0.029850746268656716]","[55, 140, 120]","[0.1746031746031746, 0.4444444444444444, 0.38095238095238093]",0.05
Neighbourhood,Kildare-Redonda,6140,3059.5501066108704,1971,835,0.13599348534201955,"['Filipino', 'Black', 'South Asian']","[400, 195, 120]","[0.47337278106508873, 0.23076923076923078, 0.14201183431952663]",845,0.13762214983713356,"[5710, 425]","[0.9307253463732681, 0.06927465362673187]","[965, 1820, 2350]","[0.18792599805258034, 0.35443037974683544, 0.45764362220058424]",0.08
Neighbourhood,Kildonan Drive,4695,2068.807798281766,1971,390,0.0830670926517572,"['Latin American', 'Filipino', 'Black']","[115, 80, 40]","[0.30666666666666664, 0.21333333333333335, 0.10666666666666667]",375,0.07987220447284345,"[4540, 160]","[0.9659574468085106, 0.03404255319148936]","[690, 1160, 2215]","[0.16974169741697417, 0.2853628536285363, 0.5448954489544895]",0.05
