Boundary Type,Boundary Name,Population 2016,Population Density 2016,Year opened,Aboriginal,Aboriginal Percent,Visible Minorities Numbers,Visible Minorities Percent,Visible Minorities Total Number,Visible Minorities Total Percent,Citizenship Numbers,Citizenship Percent,Education Numbers,Education Percent,Unemployment Rate,Period of Construction,Period of Construction Percent,Period of Construction Name,Household Type,Own vs Rent,Own vs Rent Percent,Bad Dwelling,Bad Dwelling Percent,Average and Median Household Income,Commuting Method,Commuting Method Percent,LIM-AT,LICO-AT
Neighbourhood,Kildonan Crossing,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Mcleod Industrial,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,North Transcona Yards,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Dugald,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,The Mint,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Mission Industrial,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Tissot,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Fraipont,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Symington Yards,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Chevrier,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,St. Vital Centre,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Assiniboine Park,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Legislature,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Kildonan Park,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Transcona North,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Prairie Pointe,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
